phase,configuration,policy,runs,completed,completion_rate,artifact,note
baseline,"baseline","random",1000,9,0.9%,"simulation_summary.csv","complete aggregate"
baseline,"baseline","novice",1000,48,4.8%,"simulation_summary.csv","complete aggregate"
baseline,"baseline","greedy",1000,2,0.2%,"simulation_summary.csv","complete aggregate"
baseline,"baseline","risk_aware",1000,48,4.8%,"simulation_summary.csv","complete aggregate"
baseline,"baseline","optimized",1000,49,4.9%,"simulation_summary.csv","complete aggregate"
variance,"all_random","optimized",2000,120,6%,"simulation_summary.csv","complete aggregate"
variance,"fixed_tree","optimized",2000,102,5.1%,"simulation_summary.csv","complete aggregate"
variance,"fixed_shoe","optimized",2000,100,5%,"simulation_summary.csv","complete aggregate"
variance,"fixed_policy","optimized",2000,107,5.35%,"simulation_summary.csv","complete aggregate"
mechanic_ablation,"optimized_paired","optimized",12000,,,"mechanic_effects.csv","24 modifier comparisons complete"
parameter_sweep,"numeric_effect_scale","optimized",8000,,,"parameter_sweeps.csv","40 sweep points complete"
charts,"svg","all",,,,"charts/*.svg","10 charts generated"
traces,"diagnostic","mixed",,,,"traces/sample_traces.md","deterministic sample and anomaly traces generated"
